Variable,met_included,mean_CC,mean_rmse,mean_class_error,mean_mcc,mean_ROC_AUC
TP,era5,0.5771812150148461,3.9158413008020134,0.3256410256410256,0.34213446667466263,0.6694444444444445
TP,nomet,0.5771812150148461,3.9158413008020134,0.3256410256410256,0.34213446667466263,0.6694444444444445
chla,era5,0.5678923623029201,4.592084198201294,0.27692307692307694,0.21938703633281115,0.5891233766233767
chla,nomet,0.5296356796142685,4.75078090298032,0.3038461538461538,0.11641519496300823,0.5441558441558443
colour,era5,0.8338296061442051,9.002310019628307,0.2346153846153846,0.4611305649742804,0.725
colour,nomet,0.8188363484304473,9.36037929043177,0.23076923076923075,0.4714045207910316,0.7307692307692306
cyano,era5,0.6215853300924781,0.9958301060475258,0.18541666666666667,0.6368009008479489,0.8187062937062937
cyano,exclMetNodes,0.6779473796825803,0.9606376825226723,0.13333333333333333,0.762737953006641,0.8765734265734265
cyano,exclRainNode,0.6230402250715276,0.9959927446920169,0.18958333333333335,0.6271979290974852,0.8141608391608391
cyano,exclWindSpeedNode,0.6669690125915928,0.9646747685732915,0.12708333333333333,0.7724734838296134,0.8823426573426574
cyano,nomet,0.6741386911627337,0.9502044173822691,0.125,0.777619915280231,0.8846153846153845
