var,model,pearsons_cc,spearman_cc,mae,rmse,bias,mape,mathews_cc,roc_auc_score,classification_error
TP,sim_era5,0.828,0.848,2.751,3.396,-0.209,1.459,0.536,0.768,0.231
TP,sim_naive,0.825,0.842,2.805,3.297,0.234,1.586,0.439,0.721,0.280
TP,sim_era5_av,0.828,0.848,2.751,3.396,-0.209,1.459,0.536,0.768,0.231
TP,s5_0.5_summer,0.830,0.850,2.743,3.387,-0.217,1.426,0.536,0.768,0.231
TP,s5_0.5_late_summer,0.830,0.850,2.743,3.387,-0.217,1.426,0.536,0.768,0.231
chla,sim_era5,0.645,0.653,3.248,4.073,-1.181,-3.001,0.216,0.588,0.346
chla,sim_naive,0.554,0.617,3.792,4.802,0.114,4.139,0.653,0.826,0.160
chla,sim_era5_av,0.618,0.665,3.360,4.195,-1.315,-3.135,0.216,0.588,0.346
chla,s5_0.5_summer,0.612,0.653,3.371,4.170,-1.158,-2.144,-0.038,0.488,0.423
chla,s5_0.5_late_summer,0.562,0.605,3.629,4.385,-1.177,-2.155,-0.038,0.488,0.423
colour,sim_era5,0.791,0.699,7.612,9.665,-1.710,-0.508,0.309,0.654,0.346
colour,sim_naive,0.788,0.705,8.244,10.134,0.228,2.914,0.442,0.721,0.280
colour,sim_era5_av,0.770,0.693,7.895,9.983,-1.922,0.340,0.309,0.654,0.346
colour,s5_0.5_summer,0.772,0.686,7.986,10.074,-2.464,-0.993,0.389,0.692,0.308
colour,s5_0.5_late_summer,0.777,0.721,8.014,9.967,-2.160,-0.679,0.463,0.731,0.269
cyano,sim_era5,0.525,0.688,1.112,1.792,-0.765,18.678,0.753,0.878,0.125
cyano,sim_naive,0.563,0.715,1.192,1.760,0.183,76.168,0.565,0.785,0.217
cyano,sim_era5_av,0.624,0.745,1.076,1.768,-0.836,21.757,0.753,0.878,0.125
cyano,s5_0.5_summer,0.631,0.726,1.072,1.737,-0.793,30.272,0.753,0.878,0.125
cyano,s5_0.5_late_summer,0.551,0.731,1.079,1.802,-0.807,25.978,0.832,0.916,0.083
