basin,season,varaible,frpss,sig
store,winter,streamflow,0.009435227478916564,0.008140251744157915
store,spring,streamflow,0.08969382410744342,0.01146787579595651
store,summer,streamflow,-0.10401926772588888,0.011106754078877599
store,autumn,streamflow,0.10118571066676252,0.012221244664387197
vanem,winter,0m,0.07577476119680215,0.010218913907599674
vanem,winter,6m,0.07116219648022115,0.009881446966209597
vanem,winter,15m,0.09938390603787128,0.010555112222657394
vanem,spring,0m,0.6636964880799795,0.01398004548596753
vanem,spring,6m,0.6990781984843839,0.014124913974734837
vanem,spring,15m,0.7374343833406216,0.012488534554289443
vanem,summer,0m,0.18819182612804164,0.020960459067386996
vanem,summer,6m,0.2860694073750153,0.016703153684734767
vanem,summer,15m,0.1337295179885164,0.015451157121452843
vanem,autumn,0m,0.7361368220517402,0.01178942763418999
vanem,autumn,6m,0.7335323316661703,0.01185656138382067
vanem,autumn,15m,0.7352913478688041,0.011832471791891319
